=== LOG FILE ANALYSIS ===
Total number of requests: 10000
Number of GET requests: 9952
Number of POST requests: 5
Unique IP addresses: 1753
GET and POST count per IP:
118.72.253.84: Total=6, GET=0, POST=0
217.212.224.181: Total=5, GET=0, POST=0
180.76.6.131: Total=1, GET=0, POST=0
180.183.207.146: Total=2, GET=0, POST=0
216.14.208.102: Total=1, GET=0, POST=0
93.139.195.61: Total=6, GET=0, POST=0
54.242.155.74: Total=1, GET=0, POST=0
108.178.45.172: Total=1, GET=0, POST=0
188.65.166.78: Total=1, GET=0, POST=0
37.220.7.250: Total=4, GET=0, POST=0
192.3.183.199: Total=2, GET=0, POST=0
86.166.162.41: Total=2, GET=0, POST=0
74.125.19.80: Total=5, GET=0, POST=0
199.187.125.26: Total=1, GET=0, POST=0
14.160.65.22: Total=50, GET=0, POST=0
192.118.78.198: Total=1, GET=0, POST=0
115.112.233.75: Total=39, GET=0, POST=0
153.174.34.38: Total=1, GET=0, POST=0
41.99.29.14: Total=1, GET=0, POST=0
207.241.237.104: Total=13, GET=0, POST=0
131.191.91.87: Total=1, GET=0, POST=0
183.60.244.20: Total=1, GET=0, POST=0
178.15.11.82: Total=6, GET=0, POST=0
66.249.83.239: Total=2, GET=0, POST=0
69.167.130.5: Total=9, GET=0, POST=0
54.224.92.206: Total=1, GET=0, POST=0
98.210.187.48: Total=6, GET=0, POST=0
113.252.200.224: Total=2, GET=0, POST=0
54.219.60.151: Total=1, GET=0, POST=0
95.234.214.194: Total=1, GET=0, POST=0
82.178.75.63: Total=1, GET=0, POST=0
198.20.79.140: Total=2, GET=0, POST=0
186.93.30.106: Total=1, GET=0, POST=0
201.124.21.149: Total=6, GET=0, POST=0
179.186.211.223: Total=1, GET=0, POST=0
195.242.218.133: Total=3, GET=0, POST=0
86.130.160.107: Total=9, GET=0, POST=0
94.175.135.116: Total=1, GET=0, POST=0
128.147.28.1: Total=7, GET=0, POST=0
175.143.7.57: Total=3, GET=0, POST=0
157.55.32.84: Total=1, GET=0, POST=0
148.241.190.81: Total=1, GET=0, POST=0
180.76.5.22: Total=3, GET=0, POST=0
193.238.231.119: Total=6, GET=0, POST=0
74.208.16.115: Total=1, GET=0, POST=0
54.246.137.243: Total=2, GET=0, POST=0
201.76.90.77: Total=6, GET=0, POST=0
50.131.51.216: Total=17, GET=0, POST=0
80.94.240.100: Total=1, GET=0, POST=0
180.222.70.88: Total=1, GET=0, POST=0
95.172.74.38: Total=6, GET=0, POST=0
118.97.174.156: Total=7, GET=0, POST=0
69.115.24.125: Total=2, GET=0, POST=0
117.78.13.17: Total=2, GET=0, POST=0
189.71.37.115: Total=6, GET=0, POST=0
113.189.161.125: Total=1, GET=0, POST=0
84.121.6.23: Total=5, GET=0, POST=0
216.109.99.4: Total=7, GET=0, POST=0
70.190.77.28: Total=2, GET=0, POST=0
121.107.188.202: Total=1, GET=0, POST=0
184.185.208.221: Total=2, GET=0, POST=0
198.27.64.9: Total=4, GET=0, POST=0
